"GUID","Catalogusnummer","Beschrijving","notities","spatials","categorieen","Datering_vroegst","Datering_laatst","licentie","Auteursrechthouder","Vervaardiger","cxtwd_uitgdruk","Afmeting","Afmeting_2"
"3DAD3B1FAB65522FB31533A1011A1905","152053","Afbeelding van een demonstratie van het uitladen van post bij het nieuwe motorpostrijtuig nr. 3001 (Plan mP) van de P.T.T. op het N.S.-station Arnhem te Arnhem.","Zie ook De Koppeling, nr. 127 (3 september 1965).  ","","https://commons.wikimedia.org/wiki/Category:508_Arnhem|https://commons.wikimedia.org/wiki/Category:Post_of_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Station_Arnhem_Centraal","27-08-1965","27-08-1965","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"6D70936A75BC543084A54F445CFD9870","153723","Interieur van het N.S.-station Sittard te Sittard: wachtkamer met restauratie.","  ","","https://commons.wikimedia.org/wiki/Category:553_Sittard|https://commons.wikimedia.org/wiki/Category:Restaurants_in_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Station_Sittard|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","15-09-1961","15-09-1961","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 13 cm","hoogte 13 cm"
"92C2F1FBF8BB5EC4855D256FF2012D94","153741","Interieur van het N.S.-station Zuidbroek te Zuidbroek: wachtkamer.","  ","","https://commons.wikimedia.org/wiki/Category:653_Zuidbroek|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","01-12-1970","31-12-1970","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"965CDC4590B1552C9DC316717D223E1C","165144","Gezicht op de perronzijde van het H.S.M.-station Apeldoorn te Apeldoorn.","De afbeelding behoort tot de collectie De Pater. Station Emplacement.    Apeldoorn recto, o. ","","https://commons.wikimedia.org/wiki/Category:608_Apeldoorn|https://commons.wikimedia.org/wiki/Category:Station_Apeldoorn|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","01-01-1900","31-12-1905","Publiek Domein 1.0",,,,"breedte 13 cm","hoogte 9 cm"
"E8C3498BB710539AAD1B6F3FAA8621DC","150737","Gezicht op het N.S.-station Susteren te Susteren, kort voor de afbraak.","  ","","https://commons.wikimedia.org/wiki/Category:062_Sittard-Roermond|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","01-03-1975","31-03-1975","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"D31D4252391C5816A8548548AF9D0A20","153780","Gezicht op het koperen beeld ""Schilddrager van den Koning"" op het dak van het Koninklijk paviljoen van het N.S.-station Amsterdam C.S. te Amsterdam tijdens restauratie.","  ","","https://commons.wikimedia.org/wiki/Category:586_Amsterdam_CS|https://commons.wikimedia.org/wiki/Category:Amsterdam_Central_station|https://commons.wikimedia.org/wiki/Category:Sculptures_in_the_Netherlands","01-04-1967","30-04-1967","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 13 cm","hoogte 13 cm"
"242D9C818FC75893BC939E1FA4F9989D","153162","Afbeelding van het electrische treinstel nr. 359 (mat. 1954, plan M) van de N.S. langs het perron van het N.S-station Leeuwarden te Leeuwarden.","  ","","https://commons.wikimedia.org/wiki/Category:550_Leeuwarden|https://commons.wikimedia.org/wiki/Category:Station_Leeuwarden","20-11-1970","20-11-1970","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"717367CAE0A659059A332AC741BB3DD3","169928","Afbeelding van enkele werknemers van de hoofdwerkplaats van de N.S. te Tilburg.","NS fotonummer 24921.  ","","https://commons.wikimedia.org/wiki/Category:902_Tilburg_Hoofdwerkplaats|https://commons.wikimedia.org/wiki/Category:Railway_workshops_in_the_Netherlands","01-01-1971","31-12-1971","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"hoogte 13 cm","breedte 18 cm"
"8D664E842BBE50E6B7F1AED0DF2710DE","170241","Afbeelding van de plaatskaartenautomaat in de hal van het N.S.-station Rotterdam C.S. te Rotterdam.","  ","","https://commons.wikimedia.org/wiki/Category:555_Rotterdam_CS|https://commons.wikimedia.org/wiki/Category:Rotterdam_Central_station|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","01-01-1968","31-12-1973","CC0 1.0",,"Spoorwegrecherche, fotograaf",,"breedte 17 cm","hoogte 12 cm"
"4C16B9BA68D05F108067FE699D1B1A4F","159870","Afbeelding van een goederentrein getrokken door een electrische locomotief uit de serie 1000 van de N.S. op het besneeuwde N.S.-station Utrecht C.S. te Utrecht.","  ","","https://commons.wikimedia.org/wiki/Category:531_Utrecht_CS|https://commons.wikimedia.org/wiki/Category:Freight|https://commons.wikimedia.org/wiki/Category:Utrecht_Central_station|https://commons.wikimedia.org/wiki/Category:Winter_in_the_Netherlands","17-01-1963","17-01-1963","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"9A7949732E8050CCABA5684FA9FB1990","168966","Gezicht op de spoorlijn nabij Weesp, met zig-zag dwarsliggers. N.B. Het spoor op betonblokken met zig-zag dwarsliggers was een ontwerp van ir. J.F. Deenik van WW4.","NS fotonummer 15126.  ","","https://commons.wikimedia.org/wiki/Category:541_Weesp_Aansluiting|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","19-01-1960","19-01-1960","CC BY 4.0","Nederlandse Spoorwegen","Hessels, L. (Nederlandse Spoorwegen), fotograaf",,"hoogte 18 cm","breedte 13 cm"
"27BBAA710318577CAAF2A9E2DE30CEAB","154269","Afbeelding van baanwerkers van de N.S. tijdens de werkzaamheden ten behoeve van de verzwaring van het baanvak Amsterdam - Utrecht, ter hoogte van Abcoude.","  ","","https://commons.wikimedia.org/wiki/Category:080_Amsterdam_Bijlmer-Nieuwersluis-Loenen|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode","01-01-1947","31-12-1948","Publiek Domein 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 13 cm","hoogte 18 cm"
"15FE414713B957BA9BC1F37DD004AA74","154251","Afbeelding van het beladen van open wagens van de N.S. met zand bij Zanderij Maarn te Maarn.","  ","","https://commons.wikimedia.org/wiki/Category:921_Maarn_Zanderij|https://commons.wikimedia.org/wiki/Category:Railway_workshops_in_the_Netherlands","01-08-1956","31-08-1956","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"4682BE2A4D435EF487DEB92D7CD568C1","171549","Afbeelding van de overslag van containers van rederij Sea-Land op de Europe Container Terminals (E.C.T.) in de Eemhaven te Rotterdam.","NS fotonummer 20349  ","","https://commons.wikimedia.org/wiki/Category:468_Rotterdam_Eemhaven|https://commons.wikimedia.org/wiki/Category:Shipping_containers_in_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","01-10-1966","31-10-1966","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 18 cm"
"5D08F8CC6877577DAFCEE5AA81D295F5","154487","Gezicht op de Katreinetoren van het N.S.-station Utrecht C.S. te Utrecht met op de voorgrond enkele streekbussen aan het streekbusstation.","  ","","","01-01-1978","31-12-1978","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 13 cm","hoogte 18 cm"
